cases,deaths,countriesAndTerritories,year,month,day
191,10,Algeria,2020,9,23
197,7,Algeria,2020,9,22
203,7,Algeria,2020,9,21
210,6,Algeria,2020,9,20
219,5,Algeria,2020,9,19
228,9,Algeria,2020,9,18
232,13,Algeria,2020,9,17
238,12,Algeria,2020,9,16
242,8,Algeria,2020,9,15
247,7,Algeria,2020,9,14
255,6,Algeria,2020,9,13
264,8,Algeria,2020,9,12
272,10,Algeria,2020,9,11
278,10,Algeria,2020,9,10
285,9,Algeria,2020,9,9
289,6,Algeria,2020,9,8
293,7,Algeria,2020,9,7
298,10,Algeria,2020,9,6
304,8,Algeria,2020,9,5
311,6,Algeria,2020,9,4
325,7,Algeria,2020,9,3
339,8,Algeria,2020,9,2
348,9,Algeria,2020,9,1
364,10,Algeria,2020,8,31
379,8,Algeria,2020,8,30
387,8,Algeria,2020,8,29
397,10,Algeria,2020,8,28
391,9,Algeria,2020,8,27
370,10,Algeria,2020,8,26
398,11,Algeria,2020,8,25
392,11,Algeria,2020,8,24
401,6,Algeria,2020,8,23
409,7,Algeria,2020,8,22
411,9,Algeria,2020,8,21
